case,cells,time_us,strategy,executor,julia_or_neon,threads,node,nnz
DrivAer,65334765.0,7056171.0,Fused Face-Based,CPU,NeoN,16.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,7157985.0,Fused Face-Based,CPU,NeoN,16.0,gpu-nvidia-h100,460041233.0






DrivAer,65334765.0,3985915.0,Fused Face-Based,CPU,NeoN,32.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,3962359.0,Fused Face-Based,CPU,NeoN,32.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,4050052.0,Fused Face-Based,CPU,NeoN,32.0,gpu-nvidia-h100,460041233.0






DrivAer,65334765.0,2535784.0,Fused Face-Based,CPU,NeoN,64.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,2532693.0,Fused Face-Based,CPU,NeoN,64.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,2542695.0,Fused Face-Based,CPU,NeoN,64.0,gpu-nvidia-h100,460041233.0






DrivAer,65334765.0,2966753.0,Fused Face-Based,CPU,NeoN,128.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,2637928.0,Fused Face-Based,CPU,NeoN,128.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,2611041.0,Fused Face-Based,CPU,NeoN,128.0,gpu-nvidia-h100,460041233.0






DrivAer,65334765.0,7033531.0,Face-Based,CPU,JuNe,4.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,7543501.0,Face-Based,CPU,JuNe,4.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,10203577.0,Face-Based,CPU,JuNe,4.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,5695014.0,Cell-Based,CPU,JuNe,4.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,6698683.0,Cell-Based,CPU,JuNe,4.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,6706423.0,Cell-Based,CPU,JuNe,4.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,9769705.0,Global Face-Based,CPU,JuNe,4.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,8945997.0,Global Face-Based,CPU,JuNe,4.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,12092856.0,Global Face-Based,CPU,JuNe,4.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,5426400.0,Face-Based,CPU,JuNe,8.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,4969455.0,Face-Based,CPU,JuNe,8.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,7583249.0,Face-Based,CPU,JuNe,8.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,4119670.0,Cell-Based,CPU,JuNe,8.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,5065867.0,Cell-Based,CPU,JuNe,8.0,gpu-nvidia-h100,460041233.0
