time_mean_ms,time_median_ms,gc_time_mean_ms,gc_time_median_ms,case_short,case_long,strategy,variant,language,cpu,gpu
1.9588994,1.9503576,0.0,0.0,LDC-M,LDC-M,batchedFace,DynamicCDF,julia,false,true
1.4965888,1.488973,0.0,0.0,LDC-M,LDC-M,batchedFace,DivOnlyHardCodedCDF,julia,false,true
1.9606563,1.950397,0.0,0.0,LDC-M,LDC-M,batchedFace,HardCodedUpwind,julia,false,true
1.4983504,1.48861,0.0,0.0,LDC-M,LDC-M,batchedFace,DivOnlyDynamicUpwind,julia,false,true
1.9643009,1.95069,0.0,0.0,LDC-M,LDC-M,batchedFace,HardCodedCDF,julia,false,true
1.9637228,1.950337,0.0,0.0,LDC-M,LDC-M,batchedFace,DynamicUpwind,julia,false,true
1.7580386,1.4811676,0.21689601,0.0,LDC-M,LDC-M,batchedFace,DivOnlyPrecalculatedWeightsUpwind,julia,false,true
2.235661,1.917953,0.22893722,0.0,LDC-M,LDC-M,batchedFace,PrecalculatedWeightsUpwind,julia,false,true
2.2095525,1.918242,0.24558383,0.0,LDC-M,LDC-M,batchedFace,PrecalculatedWeightsCDF,julia,false,true
1.6703721,1.479105,0.17912027,0.0,LDC-M,LDC-M,batchedFace,DivOnlyPrecalculatedWeightsCDF,julia,false,true
