case,cells,time_us,strategy,executor,julia_or_neon,threads,node
LDC_N140,2744000.0,72617.0,Global Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100
LDC_N140,2744000.0,9064.0,Cell-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N140,2744000.0,8952.0,Cell-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N140,2744000.0,8949.0,Cell-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N140,2744000.0,7201.0,Global Face-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N140,2744000.0,7158.0,Global Face-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N140,2744000.0,7119.0,Global Face-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N140,2744000.0,7099.0,Face-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N140,2744000.0,7061.0,Face-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N140,2744000.0,7041.0,Face-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
,,,,,,,
,,,,,,,
,,,,,,,
LDC_N150,3375000.0,95883.0,Global Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100
LDC_N150,3375000.0,95806.0,Global Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100
LDC_N150,3375000.0,95702.0,Global Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100
LDC_N150,3375000.0,11264.0,Cell-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N150,3375000.0,11123.0,Cell-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N150,3375000.0,11112.0,Cell-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N150,3375000.0,8807.0,Global Face-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N150,3375000.0,8714.0,Global Face-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N150,3375000.0,8685.0,Global Face-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N150,3375000.0,8638.0,Face-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N150,3375000.0,8620.0,Face-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N150,3375000.0,8609.0,Face-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
,,,,,,,
,,,,,,,
,,,,,,,
