case,cells,time_us,strategy,executor,julia_or_neon,threads,node,nnz
LDC_N30,27000.0,562.0,Cell-Based,GPU,JuNe,1.0,gpu-nvidia-h100,
LDC_N30,27000.0,558.0,Cell-Based,GPU,JuNe,1.0,gpu-nvidia-h100,
LDC_N60,216000.0,532.0,Fused Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N60,216000.0,485.0,Fused Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N60,216000.0,484.0,Fused Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N60,216000.0,1154.0,Cell-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N60,216000.0,1133.0,Cell-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N60,216000.0,1111.0,Cell-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N60,216000.0,1367.0,Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N60,216000.0,1275.0,Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N60,216000.0,1278.0,Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N60,216000.0,937.0,Face-Based,GPU,JuNe,1.0,gpu-nvidia-h100,
LDC_N60,216000.0,662.0,Face-Based,GPU,JuNe,1.0,gpu-nvidia-h100,
LDC_N60,216000.0,651.0,Face-Based,GPU,JuNe,1.0,gpu-nvidia-h100,
LDC_N60,216000.0,1321.0,Cell-Based,GPU,JuNe,1.0,gpu-nvidia-h100,
LDC_N60,216000.0,1218.0,Cell-Based,GPU,JuNe,1.0,gpu-nvidia-h100,
LDC_N60,216000.0,1205.0,Cell-Based,GPU,JuNe,1.0,gpu-nvidia-h100,
LDC_N40,64000.0,527.0,Fused Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N40,64000.0,380.0,Fused Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N40,64000.0,375.0,Fused Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N40,64000.0,1061.0,Cell-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N40,64000.0,1045.0,Cell-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N40,64000.0,1037.0,Cell-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N40,64000.0,1158.0,Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N40,64000.0,1064.0,Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N40,64000.0,1057.0,Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N40,64000.0,663.0,Face-Based,GPU,JuNe,1.0,gpu-nvidia-h100,
LDC_N40,64000.0,484.0,Face-Based,GPU,JuNe,1.0,gpu-nvidia-h100,
LDC_N40,64000.0,478.0,Face-Based,GPU,JuNe,1.0,gpu-nvidia-h100,
LDC_N40,64000.0,1130.0,Cell-Based,GPU,JuNe,1.0,gpu-nvidia-h100,
LDC_N40,64000.0,1081.0,Cell-Based,GPU,JuNe,1.0,gpu-nvidia-h100,
LDC_N40,64000.0,1070.0,Cell-Based,GPU,JuNe,1.0,gpu-nvidia-h100,
LDC_N70,343000.0,649.0,Fused Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N70,343000.0,608.0,Fused Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N70,343000.0,608.0,Fused Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N70,343000.0,1272.0,Cell-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N70,343000.0,1261.0,Cell-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N70,343000.0,1241.0,Cell-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N70,343000.0,1623.0,Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N70,343000.0,1538.0,Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N70,343000.0,1536.0,Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N70,343000.0,944.0,Face-Based,GPU,JuNe,1.0,gpu-nvidia-h100,
LDC_N70,343000.0,755.0,Face-Based,GPU,JuNe,1.0,gpu-nvidia-h100,
LDC_N70,343000.0,745.0,Face-Based,GPU,JuNe,1.0,gpu-nvidia-h100,
LDC_N70,343000.0,1373.0,Cell-Based,GPU,JuNe,1.0,gpu-nvidia-h100,
LDC_N70,343000.0,1302.0,Cell-Based,GPU,JuNe,1.0,gpu-nvidia-h100,
LDC_N70,343000.0,1283.0,Cell-Based,GPU,JuNe,1.0,gpu-nvidia-h100,
LDC_N50,125000.0,550.0,Fused Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N50,125000.0,443.0,Fused Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N50,125000.0,440.0,Fused Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N50,125000.0,1111.0,Cell-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N50,125000.0,1093.0,Cell-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N50,125000.0,1084.0,Cell-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N50,125000.0,1278.0,Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N50,125000.0,1188.0,Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
