time_mean_ms,time_median_ms,gc_time_mean_ms,gc_time_median_ms,case,case_long,strategy,variant,language,precision,executor,use_kernelAbstractions,use_fusing,Threads,cells,ms_normed,varDisplay,varType
0.3551312460999999,0.3835075,0.0,0.0,LDC-343000,LDC-343000,faceBased,PrecalculatedWeightsCDF,julia,float64,cpu,True,True,8,343000,1.0353680644314867e-06,Linear (Prec.),Precalculated Weights
0.3474253528,0.378671,0.0,0.0,LDC-343000,LDC-343000,faceBased,HardCodedUpwind,julia,float64,cpu,True,True,8,343000,1.012901903206997e-06,Upwind (Stat.),Hardcoded
0.3474818274,0.376528,0.0,0.0,LDC-343000,LDC-343000,faceBased,Fused,julia,float64,cpu,True,True,8,343000,1.013066552186589e-06,Fused,Fused
1.800408362621534,1.794297,0.0,0.0,LDC-343000,LDC-343000,globalFaceBased,HardCodedCDF,julia,float64,cpu,True,True,8,343000,5.2490039726575335e-06,Linear (Stat.),Hardcoded
1.7659795496291064,1.752218,0.0,0.0,LDC-343000,LDC-343000,globalFaceBased,DynamicUpwind,julia,float64,cpu,True,True,8,343000,5.148628424574654e-06,Upwind (Dyn.),Dynamic
1.900576914481186,1.895846,0.0,0.0,LDC-343000,LDC-343000,globalFaceBased,PrecalculatedWeightsUpwind,julia,float64,cpu,True,True,8,343000,5.541040567000542e-06,Upwind (Prec.),Precalculated Weights
1.8221010860058309,1.816733,0.0,0.0,LDC-343000,LDC-343000,globalFaceBased,DynamicCDF,julia,float64,cpu,True,True,8,343000,5.312248064156941e-06,Linear (Dyn.),Dynamic
1.905996480747236,1.900272,0.0,0.0,LDC-343000,LDC-343000,globalFaceBased,PrecalculatedWeightsCDF,julia,float64,cpu,True,True,8,343000,5.556841051741213e-06,Linear (Prec.),Precalculated Weights
1.7513439506129598,1.738019,0.0,0.0,LDC-343000,LDC-343000,globalFaceBased,HardCodedUpwind,julia,float64,cpu,True,True,8,343000,5.10595903968793e-06,Upwind (Stat.),Hardcoded
2.8623757052089296,2.862456,0.0,0.0,LDC-343000,LDC-343000,globalFaceBased,Fused,julia,float64,cpu,True,True,8,343000,8.345118674078511e-06,Fused,Fused
2.163750692340978,2.163004,0.0,0.0,LDC-343000,LDC-343000,batchedFace,HardCodedCDF,julia,float64,cpu,True,True,8,343000,6.308311056387692e-06,Linear (Stat.),Hardcoded
2.1809020296554733,2.172527,0.0,0.0,LDC-343000,LDC-343000,batchedFace,DynamicUpwind,julia,float64,cpu,True,True,8,343000,6.35831495526377e-06,Upwind (Dyn.),Dynamic
2.3518453118532454,2.350101,0.0,0.0,LDC-343000,LDC-343000,batchedFace,PrecalculatedWeightsUpwind,julia,float64,cpu,True,True,8,343000,6.856691871292261e-06,Upwind (Prec.),Precalculated Weights
2.1633191700562526,2.161221,0.0,0.0,LDC-343000,LDC-343000,batchedFace,DynamicCDF,julia,float64,cpu,True,True,8,343000,6.307052973924935e-06,Linear (Dyn.),Dynamic
2.35273286117647,2.351723,0.0,0.0,LDC-343000,LDC-343000,batchedFace,PrecalculatedWeightsCDF,julia,float64,cpu,True,True,8,343000,6.859279478648601e-06,Linear (Prec.),Precalculated Weights
2.1800282602441152,2.1781545,0.0,0.0,LDC-343000,LDC-343000,batchedFace,HardCodedUpwind,julia,float64,cpu,True,True,8,343000,6.355767522577595e-06,Upwind (Stat.),Hardcoded
3.003578392792793,3.005041,0.0,0.0,LDC-343000,LDC-343000,batchedFace,Fused,julia,float64,cpu,True,True,8,343000,8.756788317180155e-06,Fused,Fused
4.558419776663628,4.476734,0.0750645542388331,0.0,LDC-343000,LDC-343000,cellBased,HardCodedCDF,julia,float64,cpu,True,True,8,343000,1.3289853576278799e-05,Linear (Stat.),Hardcoded
4.548009849090908,4.4710065,0.0739945590909091,0.0,LDC-343000,LDC-343000,cellBased,DynamicUpwind,julia,float64,cpu,True,True,8,343000,1.3259503933209645e-05,Upwind (Dyn.),Dynamic
4.693424689493433,4.611615,0.0748758283302063,0.0,LDC-343000,LDC-343000,cellBased,PrecalculatedWeightsUpwind,julia,float64,cpu,True,True,8,343000,1.3683453905228668e-05,Upwind (Prec.),Precalculated Weights
4.5932106005509645,4.508267,0.076254142332415,0.0,LDC-343000,LDC-343000,cellBased,DynamicCDF,julia,float64,cpu,True,True,8,343000,1.3391284549711267e-05,Linear (Dyn.),Dynamic
4.7146443760603205,4.63396,0.0753359245994345,0.0,LDC-343000,LDC-343000,cellBased,PrecalculatedWeightsCDF,julia,float64,cpu,True,True,8,343000,1.3745318880642333e-05,Linear (Prec.),Precalculated Weights
4.579917875457875,4.504252,0.0763866245421245,0.0,LDC-343000,LDC-343000,cellBased,HardCodedUpwind,julia,float64,cpu,True,True,8,343000,1.3352530249148324e-05,Upwind (Stat.),Hardcoded
4.296540571305842,4.2226,0.0767344965635738,0.0,LDC-343000,LDC-343000,cellBased,Fused,julia,float64,cpu,True,True,8,343000,1.2526357350745894e-05,Fused,Fused
0.3099024722,0.3708045,0.0,0.0,LDC-343000,LDC-343000,faceBased,HardCodedCDF,julia,float64,cpu,True,True,16,343000,9.035057498542274e-07,Linear (Stat.),Hardcoded
0.3609463256999999,0.387152,0.0,0.0,LDC-343000,LDC-343000,faceBased,DynamicUpwind,julia,float64,cpu,True,True,16,343000,1.0523216492711367e-06,Upwind (Dyn.),Dynamic
0.3581762026,0.393486,0.0,0.0,LDC-343000,LDC-343000,faceBased,PrecalculatedWeightsUpwind,julia,float64,cpu,True,True,16,343000,1.0442454886297376e-06,Upwind (Prec.),Precalculated Weights
0.3413756217,0.3826365,0.0,0.0,LDC-343000,LDC-343000,faceBased,DynamicCDF,julia,float64,cpu,True,True,16,343000,9.952642032069972e-07,Linear (Dyn.),Dynamic
0.3529787444,0.393441,0.0,0.0,LDC-343000,LDC-343000,faceBased,PrecalculatedWeightsCDF,julia,float64,cpu,True,True,16,343000,1.029092549271137e-06,Linear (Prec.),Precalculated Weights
0.3511915492,0.391388,0.0,0.0,LDC-343000,LDC-343000,faceBased,HardCodedUpwind,julia,float64,cpu,True,True,16,343000,1.023882067638484e-06,Upwind (Stat.),Hardcoded
0.3794086322,0.402924,0.0,0.0,LDC-343000,LDC-343000,faceBased,Fused,julia,float64,cpu,True,True,16,343000,1.10614761574344e-06,Fused,Fused
1.0375196460452565,1.03339,0.0,0.0,LDC-343000,LDC-343000,globalFaceBased,HardCodedCDF,julia,float64,cpu,True,True,16,343000,3.024838618207745e-06,Linear (Stat.),Hardcoded
0.9994630498,0.997586,0.0,0.0,LDC-343000,LDC-343000,globalFaceBased,DynamicUpwind,julia,float64,cpu,True,True,16,343000,2.9138864425655977e-06,Upwind (Dyn.),Dynamic
1.154014777880397,1.155759,0.0,0.0,LDC-343000,LDC-343000,globalFaceBased,PrecalculatedWeightsUpwind,julia,float64,cpu,True,True,16,343000,3.3644745710798747e-06,Upwind (Prec.),Precalculated Weights
1.013168731198054,1.01126,0.0,0.0,LDC-343000,LDC-343000,globalFaceBased,DynamicCDF,julia,float64,cpu,True,True,16,343000,2.9538446973704196e-06,Linear (Dyn.),Dynamic
1.150535973296501,1.151949,0.0,0.0,LDC-343000,LDC-343000,globalFaceBased,PrecalculatedWeightsCDF,julia,float64,cpu,True,True,16,343000,3.3543322836632684e-06,Linear (Prec.),Precalculated Weights
