time_mean_ms,time_median_ms,gc_time_mean_ms,gc_time_median_ms,case_short,case_long,strategy,variant,language,precision,executor,use_kernelAbstractions,use_fusing,Threads
0.6536447512810406,0.703709,0.0,0.0,LDC-1000000,LDC-1000000,cellBased,HardCodedUpwind,julia,float64,gpu,true,true,1
0.6076258856898865,0.606962,0.0,0.0,LDC-1000000,LDC-1000000,cellBased,Fused,julia,float64,gpu,true,true,1
0.2766022338,0.2759325,0.0,0.0,LDC-729000,LDC-729000,faceBased,HardCodedCDF,julia,float64,gpu,true,true,1
0.2762221926,0.2765685,0.0,0.0,LDC-729000,LDC-729000,faceBased,DynamicUpwind,julia,float64,gpu,true,true,1
0.2829632818,0.283561,0.0,0.0,LDC-729000,LDC-729000,faceBased,PrecalculatedWeightsUpwind,julia,float64,gpu,true,true,1
0.2746929928,0.2751795,0.0,0.0,LDC-729000,LDC-729000,faceBased,DynamicCDF,julia,float64,gpu,true,true,1
0.2829359106,0.2835165,0.0,0.0,LDC-729000,LDC-729000,faceBased,PrecalculatedWeightsCDF,julia,float64,gpu,true,true,1
0.2848522539,0.2844605,0.0,0.0,LDC-729000,LDC-729000,faceBased,HardCodedUpwind,julia,float64,gpu,true,true,1
0.28446056880000004,0.2842795,0.0,0.0,LDC-729000,LDC-729000,faceBased,Fused,julia,float64,gpu,true,true,1
0.18401034289999998,0.183475,0.0,0.0,LDC-729000,LDC-729000,batchedFace,HardCodedCDF,julia,float64,gpu,true,true,1
0.174164098,0.1736185,0.0,0.0,LDC-729000,LDC-729000,batchedFace,DynamicUpwind,julia,float64,gpu,true,true,1
0.1796851431,0.179214,0.0,0.0,LDC-729000,LDC-729000,batchedFace,PrecalculatedWeightsUpwind,julia,float64,gpu,true,true,1
0.1732695201,0.172708,0.0,0.0,LDC-729000,LDC-729000,batchedFace,DynamicCDF,julia,float64,gpu,true,true,1
0.179398728,0.1788955,0.0,0.0,LDC-729000,LDC-729000,batchedFace,PrecalculatedWeightsCDF,julia,float64,gpu,true,true,1
0.1699882787,0.1694905,0.0,0.0,LDC-729000,LDC-729000,batchedFace,HardCodedUpwind,julia,float64,gpu,true,true,1
0.17725448019999998,0.176819,0.0,0.0,LDC-729000,LDC-729000,batchedFace,Fused,julia,float64,gpu,true,true,1
0.442704346,0.364734,0.0,0.0,LDC-729000,LDC-729000,cellBased,HardCodedCDF,julia,float64,gpu,true,true,1
0.5811654271878647,0.5426435,0.0,0.0,LDC-729000,LDC-729000,cellBased,DynamicUpwind,julia,float64,gpu,true,true,1
0.5810065149323378,0.5473065,0.0,0.0,LDC-729000,LDC-729000,cellBased,PrecalculatedWeightsUpwind,julia,float64,gpu,true,true,1
0.5819449124386252,0.5441425,0.0,0.0,LDC-729000,LDC-729000,cellBased,DynamicCDF,julia,float64,gpu,true,true,1
0.5797247071012805,0.543364,0.0,0.0,LDC-729000,LDC-729000,cellBased,PrecalculatedWeightsCDF,julia,float64,gpu,true,true,1
0.5810083866791088,0.535426,0.0,0.0,LDC-729000,LDC-729000,cellBased,HardCodedUpwind,julia,float64,gpu,true,true,1
0.5787978453045095,0.5351825,0.0,0.0,LDC-729000,LDC-729000,cellBased,Fused,julia,float64,gpu,true,true,1
