,case,cells,time_us,strategy,executor,julia_or_neon,threads,node,nnz,time_ms,ms_normed,us_normed,mean_normed,us_mean_normed,merged,bandwidth
54,LDC_N10,1000,475,Face-Based,GPU,JuNe,1,gpu-nvidia-h100,6400.0,0.475,0.000475,0.475,0.000322,0.322,Face-Based (JuNe),0.3233684210526316
55,LDC_N10,1000,275,Face-Based,GPU,JuNe,1,gpu-nvidia-h100,6400.0,0.275,0.000275,0.275,0.000322,0.322,Face-Based (JuNe),0.5585454545454546
56,LDC_N10,1000,265,Face-Based,GPU,JuNe,1,gpu-nvidia-h100,6400.0,0.265,0.000265,0.265,0.000322,0.322,Face-Based (JuNe),0.579622641509434
57,LDC_N10,1000,595,Cell-Based,GPU,JuNe,1,gpu-nvidia-h100,6400.0,0.595,0.0005949999999999,0.595,0.0005949999999999,0.595,Cell-Based (JuNe),0.2581512605042017
58,LDC_N10,1000,555,Cell-Based,GPU,JuNe,1,gpu-nvidia-h100,6400.0,0.555,0.000555,0.555,0.0005949999999999,0.595,Cell-Based (JuNe),0.2767567567567567
59,LDC_N10,1000,544,Cell-Based,GPU,JuNe,1,gpu-nvidia-h100,6400.0,0.544,0.000544,0.544,0.0005949999999999,0.595,Cell-Based (JuNe),0.2823529411764706
60,LDC_N40,64000,390,Fused Face-Based,GPU,NeoN,1,gpu-nvidia-h100,438400.0,0.39,6.09375e-06,0.00609375,5.921875e-06,0.005921875,Fused Face-Based (NeoN),26.978461538461534
61,LDC_N40,64000,334,Fused Face-Based,GPU,NeoN,1,gpu-nvidia-h100,438400.0,0.334,5.218750000000001e-06,0.00521875,5.921875e-06,0.005921875,Fused Face-Based (NeoN),31.50179640718563
62,LDC_N40,64000,322,Fused Face-Based,GPU,NeoN,1,gpu-nvidia-h100,438400.0,0.322,5.03125e-06,0.00503125,5.921875e-06,0.005921875,Fused Face-Based (NeoN),32.67577639751553
63,LDC_N40,64000,892,Cell-Based,GPU,NeoN,1,gpu-nvidia-h100,438400.0,0.892,1.39375e-05,0.0139375,1.6203125e-05,0.016203125,Cell-Based (NeoN),11.795515695067264
64,LDC_N40,64000,885,Cell-Based,GPU,NeoN,1,gpu-nvidia-h100,438400.0,0.885,1.3828125e-05,0.013828125,1.6203125e-05,0.016203125,Cell-Based (NeoN),11.888813559322037
65,LDC_N40,64000,882,Cell-Based,GPU,NeoN,1,gpu-nvidia-h100,438400.0,0.882,1.378125e-05,0.01378125,1.6203125e-05,0.016203125,Cell-Based (NeoN),11.929251700680272
66,LDC_N40,64000,1008,Face-Based,GPU,NeoN,1,gpu-nvidia-h100,438400.0,1.008,1.575e-05,0.01575,1.6515625e-05,0.016515625,Face-Based (NeoN),10.438095238095238
67,LDC_N40,64000,941,Face-Based,GPU,NeoN,1,gpu-nvidia-h100,438400.0,0.941,1.4703125e-05,0.014703125,1.6515625e-05,0.016515625,Face-Based (NeoN),11.181296493092455
68,LDC_N40,64000,935,Face-Based,GPU,NeoN,1,gpu-nvidia-h100,438400.0,0.935,1.4609375e-05,0.014609375,1.6515625e-05,0.016515625,Face-Based (NeoN),11.253048128342249
69,LDC_N40,64000,628,Face-Based,GPU,JuNe,1,gpu-nvidia-h100,438400.0,0.628,9.8125e-06,0.0098125,8.03125e-06,0.00803125,Face-Based (JuNe),16.754140127388535
70,LDC_N40,64000,518,Face-Based,GPU,JuNe,1,gpu-nvidia-h100,438400.0,0.518,8.09375e-06,0.00809375,8.03125e-06,0.00803125,Face-Based (JuNe),20.311969111969113
71,LDC_N40,64000,514,Face-Based,GPU,JuNe,1,gpu-nvidia-h100,438400.0,0.514,8.03125e-06,0.00803125,8.03125e-06,0.00803125,Face-Based (JuNe),20.470038910505835
72,LDC_N40,64000,1093,Cell-Based,GPU,JuNe,1,gpu-nvidia-h100,438400.0,1.093,1.7078125e-05,0.017078125,1.6890625e-05,0.016890625,Cell-Based (JuNe),9.626349496797804
73,LDC_N40,64000,1056,Cell-Based,GPU,JuNe,1,gpu-nvidia-h100,438400.0,1.056,1.65e-05,0.0165,1.6890625e-05,0.016890625,Cell-Based (JuNe),9.963636363636365
74,LDC_N40,64000,1030,Cell-Based,GPU,JuNe,1,gpu-nvidia-h100,438400.0,1.03,1.609375e-05,0.01609375,1.6890625e-05,0.016890625,Cell-Based (JuNe),10.215145631067962
75,LDC_N20,8000,166,Fused Face-Based,GPU,NeoN,1,gpu-nvidia-h100,53600.0,0.166,2.075e-05,0.02075,1.4125e-05,0.014125,Fused Face-Based (NeoN),7.749397590361446
76,LDC_N20,8000,113,Fused Face-Based,GPU,NeoN,1,gpu-nvidia-h100,53600.0,0.113,1.4125e-05,0.014125,1.4125e-05,0.014125,Fused Face-Based (NeoN),11.384070796460176
77,LDC_N20,8000,102,Fused Face-Based,GPU,NeoN,1,gpu-nvidia-h100,53600.0,0.102,1.275e-05,0.01275,1.4125e-05,0.014125,Fused Face-Based (NeoN),12.611764705882353
78,LDC_N20,8000,437,Cell-Based,GPU,NeoN,1,gpu-nvidia-h100,53600.0,0.437,5.4625e-05,0.054625,5.4125e-05,0.054125,Cell-Based (NeoN),2.9437070938215104
79,LDC_N20,8000,418,Cell-Based,GPU,NeoN,1,gpu-nvidia-h100,53600.0,0.418,5.225e-05,0.05225,5.4125e-05,0.054125,Cell-Based (NeoN),3.077511961722488
80,LDC_N20,8000,411,Cell-Based,GPU,NeoN,1,gpu-nvidia-h100,53600.0,0.411,5.1374999999999995e-05,0.051375,5.4125e-05,0.054125,Cell-Based (NeoN),3.12992700729927
81,LDC_N20,8000,516,Face-Based,GPU,NeoN,1,gpu-nvidia-h100,53600.0,0.516,6.45e-05,0.0645,5.5e-05,0.055,Face-Based (NeoN),2.4930232558139536
82,LDC_N20,8000,429,Face-Based,GPU,NeoN,1,gpu-nvidia-h100,53600.0,0.429,5.3625e-05,0.053625,5.5e-05,0.055,Face-Based (NeoN),2.9986013986013984
83,LDC_N20,8000,416,Face-Based,GPU,NeoN,1,gpu-nvidia-h100,53600.0,0.416,5.2e-05,0.052,5.5e-05,0.055,Face-Based (NeoN),3.0923076923076924
84,LDC_N20,8000,460,Face-Based,GPU,JuNe,1,gpu-nvidia-h100,53600.0,0.46,5.75e-05,0.0575,3.9e-05,0.039,Face-Based (JuNe),2.796521739130435
85,LDC_N20,8000,277,Face-Based,GPU,JuNe,1,gpu-nvidia-h100,53600.0,0.277,3.4625e-05,0.034625,3.9e-05,0.039,Face-Based (JuNe),4.644043321299639
86,LDC_N20,8000,270,Face-Based,GPU,JuNe,1,gpu-nvidia-h100,53600.0,0.27,3.375e-05,0.03375,3.9e-05,0.039,Face-Based (JuNe),4.764444444444444
87,LDC_N20,8000,595,Cell-Based,GPU,JuNe,1,gpu-nvidia-h100,53600.0,0.595,7.437499999999999e-05,0.074375,7.437499999999999e-05,0.074375,Cell-Based (JuNe),2.162016806722689
88,LDC_N20,8000,554,Cell-Based,GPU,JuNe,1,gpu-nvidia-h100,53600.0,0.554,6.925e-05,0.06925,7.437499999999999e-05,0.074375,Cell-Based (JuNe),2.3220216606498196
89,LDC_N20,8000,547,Cell-Based,GPU,JuNe,1,gpu-nvidia-h100,53600.0,0.547,6.837500000000001e-05,0.068375,7.437499999999999e-05,0.074375,Cell-Based (JuNe),2.3517367458866545
90,LDC_N50,125000,430,Fused Face-Based,GPU,NeoN,1,gpu-nvidia-h100,860000.0,0.43,3.44e-06,0.00344,3.536e-06,0.003536,Fused Face-Based (NeoN),48.0
